Location,Scene,Offence,Year or Month,Measure,Value,Flags
"Bay Of Plenty District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Resolved",936,
"Bay Of Plenty District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Resolved",834,
"Bay Of Plenty District","Total Scene","Theft and related offences","2013","Resolved",2959,
"Bay Of Plenty District","Total Scene","Theft and related offences","2014","Resolved",2985,
"Bay Of Plenty District","Total Scene","Fraud, deception and related offences","2013","Resolved",304,
"Bay Of Plenty District","Total Scene","Fraud, deception and related offences","2014","Resolved",486,
"Bay Of Plenty District","Total Scene","Illicit drug offences","2013","Resolved",1727,
"Bay Of Plenty District","Total Scene","Illicit drug offences","2014","Resolved",1607,
"Bay Of Plenty District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Resolved",548,
"Bay Of Plenty District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Resolved",584,
"Bay Of Plenty District","Total Scene","Property damage and environmental pollution","2013","Resolved",1534,
"Bay Of Plenty District","Total Scene","Property damage and environmental pollution","2014","Resolved",1270,
"Bay Of Plenty District","Total Scene","Public order offences","2013","Resolved",3117,
"Bay Of Plenty District","Total Scene","Public order offences","2014","Resolved",2578,
"Bay Of Plenty District","Total Scene","Offences against justice procedures, government security and government operations","2013","Resolved",1226,
"Bay Of Plenty District","Total Scene","Offences against justice procedures, government security and government operations","2014","Resolved",1375,
"Bay Of Plenty District","Total Scene","Miscellaneous offences","2013","Resolved",79,
"Bay Of Plenty District","Total Scene","Miscellaneous offences","2014","Resolved",86,
"Bay Of Plenty District","Total Scene","Total Offences","2014","Recorded",30288,
"Bay Of Plenty District","Total Scene","Total Offences","2014","Resolved",15954,
"Eastern District","Total Scene","Total Offences","2013","Recorded",23523,
"Eastern District","Total Scene","Total Offences","2014","Recorded",22344,
"Eastern District","Total Scene","Homicide and related offences","2013","Recorded",10,
"Eastern District","Total Scene","Homicide and related offences","2014","Recorded",2,
"Eastern District","Total Scene","Acts intended to cause injury","2013","Recorded",3387,
"Eastern District","Total Scene","Acts intended to cause injury","2014","Recorded",3446,
"Eastern District","Total Scene","Sexual assault and related offences","2013","Recorded",265,
"Eastern District","Total Scene","Sexual assault and related offences","2014","Recorded",253,
"Eastern District","Total Scene","Dangerous or negligent acts endangering persons","2013","Recorded",102,
"Eastern District","Total Scene","Dangerous or negligent acts endangering persons","2014","Recorded",92,
"Eastern District","Total Scene","Abduction, harassment and other related offences against a person","2013","Recorded",1017,
"Eastern District","Total Scene","Abduction, harassment and other related offences against a person","2014","Recorded",1110,
"Eastern District","Total Scene","Robbery, extortion and related offences","2013","Recorded",130,
"Eastern District","Total Scene","Robbery, extortion and related offences","2014","Recorded",110,
"Eastern District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Recorded",3536,
"Eastern District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Recorded",3292,
"Eastern District","Total Scene","Theft and related offences","2013","Recorded",6561,
"Eastern District","Total Scene","Theft and related offences","2014","Recorded",5936,
"Eastern District","Total Scene","Fraud, deception and related offences","2013","Recorded",465,
"Eastern District","Total Scene","Fraud, deception and related offences","2014","Recorded",535,
"Eastern District","Total Scene","Illicit drug offences","2013","Recorded",1028,
"Eastern District","Total Scene","Illicit drug offences","2014","Recorded",1148,
"Eastern District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Recorded",478,
"Eastern District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Recorded",455,
"Eastern District","Total Scene","Property damage and environmental pollution","2013","Recorded",2755,
"Eastern District","Total Scene","Property damage and environmental pollution","2014","Recorded",2438,
"Eastern District","Total Scene","Public order offences","2013","Recorded",2634,
"Eastern District","Total Scene","Public order offences","2014","Recorded",2119,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2013","Recorded",1033,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2014","Recorded",1305,
"Eastern District","Total Scene","Miscellaneous offences","2013","Recorded",122,
"Eastern District","Total Scene","Miscellaneous offences","2014","Recorded",103,
"Eastern District","Total Scene","Total Offences","2013","Resolved",11254,
"Eastern District","Total Scene","Total Offences","2014","Resolved",10887,
"Eastern District","Total Scene","Homicide and related offences","2013","Resolved",5,
"Eastern District","Total Scene","Homicide and related offences","2014","Resolved",2,
"Eastern District","Total Scene","Acts intended to cause injury","2013","Resolved",2399,
"Eastern District","Total Scene","Acts intended to cause injury","2014","Resolved",2312,
"Eastern District","Total Scene","Sexual assault and related offences","2013","Resolved",117,
"Eastern District","Total Scene","Sexual assault and related offences","2014","Resolved",114,
"Eastern District","Total Scene","Dangerous or negligent acts endangering persons","2013","Resolved",44,
"Eastern District","Total Scene","Dangerous or negligent acts endangering persons","2014","Resolved",42,
"Eastern District","Total Scene","Abduction, harassment and other related offences against a person","2013","Resolved",620,
"Eastern District","Total Scene","Abduction, harassment and other related offences against a person","2014","Resolved",702,
"Eastern District","Total Scene","Robbery, extortion and related offences","2013","Resolved",60,
"Eastern District","Total Scene","Robbery, extortion and related offences","2014","Resolved",61,
"Eastern District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Resolved",574,
"Eastern District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Resolved",527,
"Eastern District","Total Scene","Theft and related offences","2013","Resolved",1882,
"Eastern District","Total Scene","Theft and related offences","2014","Resolved",1751,
"Eastern District","Total Scene","Fraud, deception and related offences","2013","Resolved",257,
"Eastern District","Total Scene","Fraud, deception and related offences","2014","Resolved",311,
"Eastern District","Total Scene","Illicit drug offences","2013","Resolved",755,
"Eastern District","Total Scene","Illicit drug offences","2014","Resolved",869,
"Eastern District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Resolved",421,
"Eastern District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Resolved",408,
"Eastern District","Total Scene","Property damage and environmental pollution","2013","Resolved",956,
"Eastern District","Total Scene","Property damage and environmental pollution","2014","Resolved",839,
"Eastern District","Total Scene","Public order offences","2013","Resolved",2190,
"Eastern District","Total Scene","Public order offences","2014","Resolved",1771,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2013","Resolved",914,
"Eastern District","Total Scene","Offences against justice procedures, government security and government operations","2014","Resolved",1114,
"Eastern District","Total Scene","Miscellaneous offences","2013","Resolved",60,
"Eastern District","Total Scene","Miscellaneous offences","2014","Resolved",64,
"Central District","Total Scene","Total Offences","2013","Recorded",28006,
"Central District","Total Scene","Total Offences","2014","Recorded",27592,
"Central District","Total Scene","Homicide and related offences","2013","Recorded",7,
"Central District","Total Scene","Homicide and related offences","2014","Recorded",4,
"Central District","Total Scene","Acts intended to cause injury","2013","Recorded",3165,
"Central District","Total Scene","Acts intended to cause injury","2014","Recorded",3192,
"Central District","Total Scene","Sexual assault and related offences","2013","Recorded",380,
"Central District","Total Scene","Sexual assault and related offences","2014","Recorded",306,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2013","Recorded",51,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2014","Recorded",61,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2013","Recorded",1075,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2014","Recorded",1123,
"Central District","Total Scene","Robbery, extortion and related offences","2013","Recorded",102,
"Central District","Total Scene","Robbery, extortion and related offences","2014","Recorded",99,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Recorded",4472,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Recorded",4540,
"Central District","Total Scene","Theft and related offences","2013","Recorded",8689,
"Central District","Total Scene","Theft and related offences","2014","Recorded",8839,
"Central District","Total Scene","Fraud, deception and related offences","2013","Recorded",583,
"Central District","Total Scene","Fraud, deception and related offences","2014","Recorded",715,
"Central District","Total Scene","Illicit drug offences","2013","Recorded",1297,
"Central District","Total Scene","Illicit drug offences","2014","Recorded",1264,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Recorded",522,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Recorded",532,
"Central District","Total Scene","Property damage and environmental pollution","2013","Recorded",3984,
"Central District","Total Scene","Property damage and environmental pollution","2014","Recorded",3777,
"Central District","Total Scene","Public order offences","2013","Recorded",2613,
"Central District","Total Scene","Public order offences","2014","Recorded",1811,
"Central District","Total Scene","Offences against justice procedures, government security and government operations","2013","Recorded",970,
"Central District","Total Scene","Offences against justice procedures, government security and government operations","2014","Recorded",1250,
"Central District","Total Scene","Miscellaneous offences","2013","Recorded",96,
"Central District","Total Scene","Miscellaneous offences","2014","Recorded",79,
"Central District","Total Scene","Total Offences","2013","Resolved",13617,
"Central District","Total Scene","Total Offences","2014","Resolved",12760,
"Central District","Total Scene","Homicide and related offences","2013","Resolved",7,
"Central District","Total Scene","Homicide and related offences","2014","Resolved",4,
"Central District","Total Scene","Acts intended to cause injury","2013","Resolved",2627,
"Central District","Total Scene","Acts intended to cause injury","2014","Resolved",2609,
"Central District","Total Scene","Sexual assault and related offences","2013","Resolved",218,
"Central District","Total Scene","Sexual assault and related offences","2014","Resolved",139,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2013","Resolved",34,
"Central District","Total Scene","Dangerous or negligent acts endangering persons","2014","Resolved",39,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2013","Resolved",730,
"Central District","Total Scene","Abduction, harassment and other related offences against a person","2014","Resolved",739,
"Central District","Total Scene","Robbery, extortion and related offences","2013","Resolved",49,
"Central District","Total Scene","Robbery, extortion and related offences","2014","Resolved",51,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Resolved",745,
"Central District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Resolved",613,
"Central District","Total Scene","Theft and related offences","2013","Resolved",2691,
"Central District","Total Scene","Theft and related offences","2014","Resolved",2626,
"Central District","Total Scene","Fraud, deception and related offences","2013","Resolved",363,
"Central District","Total Scene","Fraud, deception and related offences","2014","Resolved",469,
"Central District","Total Scene","Illicit drug offences","2013","Resolved",1157,
"Central District","Total Scene","Illicit drug offences","2014","Resolved",1066,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Resolved",479,
"Central District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Resolved",486,
"Central District","Total Scene","Property damage and environmental pollution","2013","Resolved",1254,
"Central District","Total Scene","Property damage and environmental pollution","2014","Resolved",1220,
"Central District","Total Scene","Public order offences","2013","Resolved",2290,
"Central District","Total Scene","Public order offences","2014","Resolved",1515,
"Central District","Total Scene","Offences against justice procedures, government security and government operations","2013","Resolved",916,
"Central District","Total Scene","Offences against justice procedures, government security and government operations","2014","Resolved",1134,
"Central District","Total Scene","Miscellaneous offences","2013","Resolved",57,
"Central District","Total Scene","Miscellaneous offences","2014","Resolved",50,
"Wellington District","Total Scene","Total Offences","2013","Recorded",34806,
"Wellington District","Total Scene","Total Offences","2014","Recorded",37257,
"Wellington District","Total Scene","Homicide and related offences","2013","Recorded",7,
"Wellington District","Total Scene","Homicide and related offences","2014","Recorded",4,
"Wellington District","Total Scene","Acts intended to cause injury","2013","Recorded",3453,
"Wellington District","Total Scene","Acts intended to cause injury","2014","Recorded",4204,
"Wellington District","Total Scene","Sexual assault and related offences","2013","Recorded",373,
"Wellington District","Total Scene","Sexual assault and related offences","2014","Recorded",408,
"Wellington District","Total Scene","Dangerous or negligent acts endangering persons","2013","Recorded",74,
"Wellington District","Total Scene","Dangerous or negligent acts endangering persons","2014","Recorded",54,
"Wellington District","Total Scene","Abduction, harassment and other related offences against a person","2013","Recorded",1388,
"Wellington District","Total Scene","Abduction, harassment and other related offences against a person","2014","Recorded",1815,
"Wellington District","Total Scene","Robbery, extortion and related offences","2013","Recorded",150,
"Wellington District","Total Scene","Robbery, extortion and related offences","2014","Recorded",140,
"Wellington District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Recorded",4434,
"Wellington District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Recorded",4354,
"Wellington District","Total Scene","Theft and related offences","2013","Recorded",12486,
"Wellington District","Total Scene","Theft and related offences","2014","Recorded",13294,
"Wellington District","Total Scene","Fraud, deception and related offences","2013","Recorded",760,
"Wellington District","Total Scene","Fraud, deception and related offences","2014","Recorded",976,
"Wellington District","Total Scene","Illicit drug offences","2013","Recorded",1157,
"Wellington District","Total Scene","Illicit drug offences","2014","Recorded",2124,
"Wellington District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Recorded",485,
"Wellington District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Recorded",495,
"Wellington District","Total Scene","Property damage and environmental pollution","2013","Recorded",5210,
"Wellington District","Total Scene","Property damage and environmental pollution","2014","Recorded",5110,
"Wellington District","Total Scene","Public order offences","2013","Recorded",3596,
"Wellington District","Total Scene","Public order offences","2014","Recorded",2838,
"Wellington District","Total Scene","Offences against justice procedures, government security and government operations","2013","Recorded",1058,
"Wellington District","Total Scene","Offences against justice procedures, government security and government operations","2014","Recorded",1295,
"Wellington District","Total Scene","Miscellaneous offences","2013","Recorded",175,
"Wellington District","Total Scene","Miscellaneous offences","2014","Recorded",146,
"Wellington District","Total Scene","Total Offences","2013","Resolved",12728,
"Wellington District","Total Scene","Total Offences","2014","Resolved",13580,
"Wellington District","Total Scene","Homicide and related offences","2013","Resolved",6,
"Wellington District","Total Scene","Homicide and related offences","2014","Resolved",4,
"Wellington District","Total Scene","Acts intended to cause injury","2013","Resolved",2271,
"Wellington District","Total Scene","Acts intended to cause injury","2014","Resolved",2565,
"Wellington District","Total Scene","Sexual assault and related offences","2013","Resolved",199,
"Wellington District","Total Scene","Sexual assault and related offences","2014","Resolved",188,
"Wellington District","Total Scene","Dangerous or negligent acts endangering persons","2013","Resolved",41,
"Wellington District","Total Scene","Dangerous or negligent acts endangering persons","2014","Resolved",28,
"Wellington District","Total Scene","Abduction, harassment and other related offences against a person","2013","Resolved",617,
"Wellington District","Total Scene","Abduction, harassment and other related offences against a person","2014","Resolved",802,
"Wellington District","Total Scene","Robbery, extortion and related offences","2013","Resolved",66,
"Wellington District","Total Scene","Robbery, extortion and related offences","2014","Resolved",59,
"Wellington District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Resolved",552,
"Wellington District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Resolved",549,
"Wellington District","Total Scene","Theft and related offences","2013","Resolved",2322,
"Wellington District","Total Scene","Theft and related offences","2014","Resolved",2533,
"Wellington District","Total Scene","Fraud, deception and related offences","2013","Resolved",337,
"Wellington District","Total Scene","Fraud, deception and related offences","2014","Resolved",402,
"Wellington District","Total Scene","Illicit drug offences","2013","Resolved",1025,
"Wellington District","Total Scene","Illicit drug offences","2014","Resolved",2010,
"Wellington District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Resolved",414,
"Wellington District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Resolved",427,
"Wellington District","Total Scene","Property damage and environmental pollution","2013","Resolved",1100,
"Wellington District","Total Scene","Property damage and environmental pollution","2014","Resolved",1050,
"Wellington District","Total Scene","Public order offences","2013","Resolved",2821,
"Wellington District","Total Scene","Public order offences","2014","Resolved",1866,
"Wellington District","Total Scene","Offences against justice procedures, government security and government operations","2013","Resolved",870,
"Wellington District","Total Scene","Offences against justice procedures, government security and government operations","2014","Resolved",1024,
"Wellington District","Total Scene","Miscellaneous offences","2013","Resolved",87,
"Wellington District","Total Scene","Miscellaneous offences","2014","Resolved",73,
"Tasman District","Total Scene","Total Offences","2013","Recorded",14634,
"Tasman District","Total Scene","Total Offences","2014","Recorded",14078,
"Tasman District","Total Scene","Homicide and related offences","2013","Recorded",5,
"Tasman District","Total Scene","Homicide and related offences","2014","Recorded",2,
"Tasman District","Total Scene","Acts intended to cause injury","2013","Recorded",1582,
"Tasman District","Total Scene","Acts intended to cause injury","2014","Recorded",1613,
"Tasman District","Total Scene","Sexual assault and related offences","2013","Recorded",198,
"Tasman District","Total Scene","Sexual assault and related offences","2014","Recorded",155,
"Tasman District","Total Scene","Dangerous or negligent acts endangering persons","2013","Recorded",38,
"Tasman District","Total Scene","Dangerous or negligent acts endangering persons","2014","Recorded",25,
"Tasman District","Total Scene","Abduction, harassment and other related offences against a person","2013","Recorded",683,
"Tasman District","Total Scene","Abduction, harassment and other related offences against a person","2014","Recorded",704,
"Tasman District","Total Scene","Robbery, extortion and related offences","2013","Recorded",41,
"Tasman District","Total Scene","Robbery, extortion and related offences","2014","Recorded",36,
"Tasman District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Recorded",1505,
"Tasman District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Recorded",1653,
"Tasman District","Total Scene","Theft and related offences","2013","Recorded",3880,
"Tasman District","Total Scene","Theft and related offences","2014","Recorded",3749,
"Tasman District","Total Scene","Fraud, deception and related offences","2013","Recorded",204,
"Tasman District","Total Scene","Fraud, deception and related offences","2014","Recorded",328,
"Tasman District","Total Scene","Illicit drug offences","2013","Recorded",1151,
"Tasman District","Total Scene","Illicit drug offences","2014","Recorded",1123,
"Tasman District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Recorded",266,
"Tasman District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Recorded",250,
"Tasman District","Total Scene","Property damage and environmental pollution","2013","Recorded",2278,
"Tasman District","Total Scene","Property damage and environmental pollution","2014","Recorded",2205,
"Tasman District","Total Scene","Public order offences","2013","Recorded",2125,
"Tasman District","Total Scene","Public order offences","2014","Recorded",1562,
"Tasman District","Total Scene","Offences against justice procedures, government security and government operations","2013","Recorded",562,
"Tasman District","Total Scene","Offences against justice procedures, government security and government operations","2014","Recorded",571,
"Tasman District","Total Scene","Miscellaneous offences","2013","Recorded",116,
"Tasman District","Total Scene","Miscellaneous offences","2014","Recorded",102,
"Tasman District","Total Scene","Total Offences","2013","Resolved",7553,
"Tasman District","Total Scene","Total Offences","2014","Resolved",7263,
"Tasman District","Total Scene","Homicide and related offences","2013","Resolved",5,
"Tasman District","Total Scene","Homicide and related offences","2014","Resolved",1,
"Tasman District","Total Scene","Acts intended to cause injury","2013","Resolved",1257,
"Tasman District","Total Scene","Acts intended to cause injury","2014","Resolved",1321,
"Tasman District","Total Scene","Sexual assault and related offences","2013","Resolved",119,
"Tasman District","Total Scene","Sexual assault and related offences","2014","Resolved",86,
"Tasman District","Total Scene","Dangerous or negligent acts endangering persons","2013","Resolved",17,
"Tasman District","Total Scene","Dangerous or negligent acts endangering persons","2014","Resolved",14,
"Tasman District","Total Scene","Abduction, harassment and other related offences against a person","2013","Resolved",436,
"Tasman District","Total Scene","Abduction, harassment and other related offences against a person","2014","Resolved",474,
"Tasman District","Total Scene","Robbery, extortion and related offences","2013","Resolved",24,
"Tasman District","Total Scene","Robbery, extortion and related offences","2014","Resolved",22,
"Tasman District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Resolved",302,
"Tasman District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Resolved",336,
"Tasman District","Total Scene","Theft and related offences","2013","Resolved",1083,
"Tasman District","Total Scene","Theft and related offences","2014","Resolved",1169,
"Tasman District","Total Scene","Fraud, deception and related offences","2013","Resolved",102,
"Tasman District","Total Scene","Fraud, deception and related offences","2014","Resolved",191,
"Tasman District","Total Scene","Illicit drug offences","2013","Resolved",968,
"Tasman District","Total Scene","Illicit drug offences","2014","Resolved",940,
"Tasman District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Resolved",231,
"Tasman District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Resolved",223,
"Tasman District","Total Scene","Property damage and environmental pollution","2013","Resolved",611,
"Tasman District","Total Scene","Property damage and environmental pollution","2014","Resolved",653,
"Tasman District","Total Scene","Public order offences","2013","Resolved",1848,
"Tasman District","Total Scene","Public order offences","2014","Resolved",1272,
"Tasman District","Total Scene","Offences against justice procedures, government security and government operations","2013","Resolved",476,
"Tasman District","Total Scene","Offences against justice procedures, government security and government operations","2014","Resolved",500,
"Tasman District","Total Scene","Miscellaneous offences","2013","Resolved",74,
"Tasman District","Total Scene","Miscellaneous offences","2014","Resolved",61,
"Canterbury District","Total Scene","Total Offences","2013","Recorded",40393,
"Canterbury District","Total Scene","Total Offences","2014","Recorded",38010,
"Canterbury District","Total Scene","Homicide and related offences","2013","Recorded",8,
"Canterbury District","Total Scene","Homicide and related offences","2014","Recorded",8,
"Canterbury District","Total Scene","Acts intended to cause injury","2013","Recorded",3619,
"Canterbury District","Total Scene","Acts intended to cause injury","2014","Recorded",3726,
"Canterbury District","Total Scene","Sexual assault and related offences","2013","Recorded",442,
"Canterbury District","Total Scene","Sexual assault and related offences","2014","Recorded",411,
"Canterbury District","Total Scene","Dangerous or negligent acts endangering persons","2013","Recorded",62,
"Canterbury District","Total Scene","Dangerous or negligent acts endangering persons","2014","Recorded",55,
"Canterbury District","Total Scene","Abduction, harassment and other related offences against a person","2013","Recorded",1684,
"Canterbury District","Total Scene","Abduction, harassment and other related offences against a person","2014","Recorded",1811,
"Canterbury District","Total Scene","Robbery, extortion and related offences","2013","Recorded",186,
"Canterbury District","Total Scene","Robbery, extortion and related offences","2014","Recorded",202,
"Canterbury District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Recorded",5707,
"Canterbury District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Recorded",5500,
"Canterbury District","Total Scene","Theft and related offences","2013","Recorded",13366,
"Canterbury District","Total Scene","Theft and related offences","2014","Recorded",13235,
"Canterbury District","Total Scene","Fraud, deception and related offences","2013","Recorded",1018,
"Canterbury District","Total Scene","Fraud, deception and related offences","2014","Recorded",1039,
"Canterbury District","Total Scene","Illicit drug offences","2013","Recorded",1373,
"Canterbury District","Total Scene","Illicit drug offences","2014","Recorded",1326,
"Canterbury District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Recorded",565,
"Canterbury District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Recorded",590,
"Canterbury District","Total Scene","Property damage and environmental pollution","2013","Recorded",5971,
"Canterbury District","Total Scene","Property damage and environmental pollution","2014","Recorded",4903,
"Canterbury District","Total Scene","Public order offences","2013","Recorded",4593,
"Canterbury District","Total Scene","Public order offences","2014","Recorded",3231,
"Canterbury District","Total Scene","Offences against justice procedures, government security and government operations","2013","Recorded",1639,
"Canterbury District","Total Scene","Offences against justice procedures, government security and government operations","2014","Recorded",1802,
"Canterbury District","Total Scene","Miscellaneous offences","2013","Recorded",160,
"Canterbury District","Total Scene","Miscellaneous offences","2014","Recorded",171,
"Canterbury District","Total Scene","Total Offences","2013","Resolved",16910,
"Canterbury District","Total Scene","Total Offences","2014","Resolved",14993,
"Canterbury District","Total Scene","Homicide and related offences","2013","Resolved",7,
"Canterbury District","Total Scene","Homicide and related offences","2014","Resolved",7,
"Canterbury District","Total Scene","Acts intended to cause injury","2013","Resolved",2552,
"Canterbury District","Total Scene","Acts intended to cause injury","2014","Resolved",2499,
"Canterbury District","Total Scene","Sexual assault and related offences","2013","Resolved",214,
"Canterbury District","Total Scene","Sexual assault and related offences","2014","Resolved",145,
"Canterbury District","Total Scene","Dangerous or negligent acts endangering persons","2013","Resolved",34,
"Canterbury District","Total Scene","Dangerous or negligent acts endangering persons","2014","Resolved",24,
"Canterbury District","Total Scene","Abduction, harassment and other related offences against a person","2013","Resolved",763,
"Canterbury District","Total Scene","Abduction, harassment and other related offences against a person","2014","Resolved",753,
"Canterbury District","Total Scene","Robbery, extortion and related offences","2013","Resolved",73,
"Canterbury District","Total Scene","Robbery, extortion and related offences","2014","Resolved",85,
"Canterbury District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Resolved",787,
"Canterbury District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Resolved",712,
"Canterbury District","Total Scene","Theft and related offences","2013","Resolved",3215,
"Canterbury District","Total Scene","Theft and related offences","2014","Resolved",2970,
"Canterbury District","Total Scene","Fraud, deception and related offences","2013","Resolved",506,
"Canterbury District","Total Scene","Fraud, deception and related offences","2014","Resolved",510,
"Canterbury District","Total Scene","Illicit drug offences","2013","Resolved",1277,
"Canterbury District","Total Scene","Illicit drug offences","2014","Resolved",1243,
"Canterbury District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Resolved",496,
"Canterbury District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Resolved",531,
"Canterbury District","Total Scene","Property damage and environmental pollution","2013","Resolved",1492,
"Canterbury District","Total Scene","Property damage and environmental pollution","2014","Resolved",1299,
"Canterbury District","Total Scene","Public order offences","2013","Resolved",3923,
"Canterbury District","Total Scene","Public order offences","2014","Resolved",2519,
"Canterbury District","Total Scene","Offences against justice procedures, government security and government operations","2013","Resolved",1493,
"Canterbury District","Total Scene","Offences against justice procedures, government security and government operations","2014","Resolved",1595,
"Canterbury District","Total Scene","Miscellaneous offences","2013","Resolved",78,
"Canterbury District","Total Scene","Miscellaneous offences","2014","Resolved",101,
"Southern District","Total Scene","Total Offences","2013","Recorded",20326,
"Southern District","Total Scene","Total Offences","2014","Recorded",19447,
"Southern District","Total Scene","Homicide and related offences","2013","Recorded",5,
"Southern District","Total Scene","Homicide and related offences","2014","Recorded",5,
"Southern District","Total Scene","Acts intended to cause injury","2013","Recorded",2469,
"Southern District","Total Scene","Acts intended to cause injury","2014","Recorded",2636,
"Southern District","Total Scene","Sexual assault and related offences","2013","Recorded",246,
"Southern District","Total Scene","Sexual assault and related offences","2014","Recorded",355,
"Southern District","Total Scene","Dangerous or negligent acts endangering persons","2013","Recorded",60,
"Southern District","Total Scene","Dangerous or negligent acts endangering persons","2014","Recorded",34,
"Southern District","Total Scene","Abduction, harassment and other related offences against a person","2013","Recorded",921,
"Southern District","Total Scene","Abduction, harassment and other related offences against a person","2014","Recorded",1098,
"Southern District","Total Scene","Robbery, extortion and related offences","2013","Recorded",58,
"Southern District","Total Scene","Robbery, extortion and related offences","2014","Recorded",46,
"Southern District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Recorded",2092,
"Southern District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Recorded",2444,
"Southern District","Total Scene","Theft and related offences","2013","Recorded",5422,
"Southern District","Total Scene","Theft and related offences","2014","Recorded",4830,
"Southern District","Total Scene","Fraud, deception and related offences","2013","Recorded",604,
"Southern District","Total Scene","Fraud, deception and related offences","2014","Recorded",572,
"Southern District","Total Scene","Illicit drug offences","2013","Recorded",935,
"Southern District","Total Scene","Illicit drug offences","2014","Recorded",822,
"Southern District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Recorded",358,
"Southern District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Recorded",373,
"Southern District","Total Scene","Property damage and environmental pollution","2013","Recorded",3783,
"Southern District","Total Scene","Property damage and environmental pollution","2014","Recorded",3195,
"Southern District","Total Scene","Public order offences","2013","Recorded",2467,
"Southern District","Total Scene","Public order offences","2014","Recorded",2119,
"Southern District","Total Scene","Offences against justice procedures, government security and government operations","2013","Recorded",780,
"Southern District","Total Scene","Offences against justice procedures, government security and government operations","2014","Recorded",795,
"Southern District","Total Scene","Miscellaneous offences","2013","Recorded",126,
"Southern District","Total Scene","Miscellaneous offences","2014","Recorded",123,
"Southern District","Total Scene","Total Offences","2013","Resolved",10489,
"Southern District","Total Scene","Total Offences","2014","Resolved",9849,
"Southern District","Total Scene","Homicide and related offences","2013","Resolved",4,
"Southern District","Total Scene","Homicide and related offences","2014","Resolved",5,
"Southern District","Total Scene","Acts intended to cause injury","2013","Resolved",1996,
"Southern District","Total Scene","Acts intended to cause injury","2014","Resolved",2112,
"Southern District","Total Scene","Sexual assault and related offences","2013","Resolved",115,
"Southern District","Total Scene","Sexual assault and related offences","2014","Resolved",202,
