Location,Scene,Offence,Year or Month,Measure,Value,Flags
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Recorded",425,
"Waitemata District","Total Scene","Property damage and environmental pollution","2013","Recorded",3183,
"Waitemata District","Total Scene","Property damage and environmental pollution","2014","Recorded",3062,
"Waitemata District","Total Scene","Public order offences","2013","Recorded",2263,
"Waitemata District","Total Scene","Public order offences","2014","Recorded",2066,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2013","Recorded",1990,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2014","Recorded",2164,
"Waitemata District","Total Scene","Miscellaneous offences","2013","Recorded",101,
"Waitemata District","Total Scene","Miscellaneous offences","2014","Recorded",90,
"Waitemata District","Total Scene","Total Offences","2013","Resolved",13852,
"Waitemata District","Total Scene","Total Offences","2014","Resolved",11901,
"Waitemata District","Total Scene","Homicide and related offences","2013","Resolved",6,
"Waitemata District","Total Scene","Homicide and related offences","2014","Resolved",11,
"Waitemata District","Total Scene","Acts intended to cause injury","2013","Resolved",2499,
"Waitemata District","Total Scene","Acts intended to cause injury","2014","Resolved",2011,
"Waitemata District","Total Scene","Sexual assault and related offences","2013","Resolved",221,
"Waitemata District","Total Scene","Sexual assault and related offences","2014","Resolved",140,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2013","Resolved",38,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2014","Resolved",26,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","2013","Resolved",658,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","2014","Resolved",626,
"Waitemata District","Total Scene","Robbery, extortion and related offences","2013","Resolved",60,
"Waitemata District","Total Scene","Robbery, extortion and related offences","2014","Resolved",61,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Resolved",550,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Resolved",368,
"Waitemata District","Total Scene","Theft and related offences","2013","Resolved",2656,
"Waitemata District","Total Scene","Theft and related offences","2014","Resolved",2236,
"Waitemata District","Total Scene","Fraud, deception and related offences","2013","Resolved",476,
"Waitemata District","Total Scene","Fraud, deception and related offences","2014","Resolved",413,
"Waitemata District","Total Scene","Illicit drug offences","2013","Resolved",1483,
"Waitemata District","Total Scene","Illicit drug offences","2014","Resolved",1414,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Resolved",448,
"Waitemata District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Resolved",371,
"Waitemata District","Total Scene","Property damage and environmental pollution","2013","Resolved",993,
"Waitemata District","Total Scene","Property damage and environmental pollution","2014","Resolved",726,
"Waitemata District","Total Scene","Public order offences","2013","Resolved",1754,
"Waitemata District","Total Scene","Public order offences","2014","Resolved",1466,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2013","Resolved",1940,
"Waitemata District","Total Scene","Offences against justice procedures, government security and government operations","2014","Resolved",1988,
"Waitemata District","Total Scene","Miscellaneous offences","2013","Resolved",70,
"Waitemata District","Total Scene","Miscellaneous offences","2014","Resolved",44,
"Auckland District","Total Scene","Total Offences","2013","Recorded",43734,
"Auckland District","Total Scene","Total Offences","2014","Recorded",42297,
"Auckland District","Total Scene","Homicide and related offences","2013","Recorded",6,
"Auckland District","Total Scene","Homicide and related offences","2014","Recorded",7,
"Auckland District","Total Scene","Acts intended to cause injury","2013","Recorded",3294,
"Auckland District","Total Scene","Acts intended to cause injury","2014","Recorded",3135,
"Auckland District","Total Scene","Sexual assault and related offences","2013","Recorded",372,
"Auckland District","Total Scene","Sexual assault and related offences","2014","Recorded",379,
"Auckland District","Total Scene","Dangerous or negligent acts endangering persons","2013","Recorded",65,
"Auckland District","Total Scene","Dangerous or negligent acts endangering persons","2014","Recorded",63,
"Auckland District","Total Scene","Abduction, harassment and other related offences against a person","2013","Recorded",1191,
"Auckland District","Total Scene","Abduction, harassment and other related offences against a person","2014","Recorded",1235,
"Auckland District","Total Scene","Robbery, extortion and related offences","2013","Recorded",466,
"Auckland District","Total Scene","Robbery, extortion and related offences","2014","Recorded",427,
"Auckland District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Recorded",6316,
"Auckland District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Recorded",7269,
"Auckland District","Total Scene","Theft and related offences","2013","Recorded",19957,
"Auckland District","Total Scene","Theft and related offences","2014","Recorded",19303,
"Auckland District","Total Scene","Fraud, deception and related offences","2013","Recorded",1044,
"Auckland District","Total Scene","Fraud, deception and related offences","2014","Recorded",1205,
"Auckland District","Total Scene","Illicit drug offences","2013","Recorded",1463,
"Auckland District","Total Scene","Illicit drug offences","2014","Recorded",1438,
"Auckland District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Recorded",421,
"Auckland District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Recorded",463,
"Auckland District","Total Scene","Property damage and environmental pollution","2013","Recorded",4157,
"Auckland District","Total Scene","Property damage and environmental pollution","2014","Recorded",3294,
"Auckland District","Total Scene","Public order offences","2013","Recorded",3723,
"Auckland District","Total Scene","Public order offences","2014","Recorded",2540,
"Auckland District","Total Scene","Offences against justice procedures, government security and government operations","2013","Recorded",1164,
"Auckland District","Total Scene","Offences against justice procedures, government security and government operations","2014","Recorded",1434,
"Auckland District","Total Scene","Miscellaneous offences","2013","Recorded",95,
"Auckland District","Total Scene","Miscellaneous offences","2014","Recorded",105,
"Auckland District","Total Scene","Total Offences","2013","Resolved",13995,
"Auckland District","Total Scene","Total Offences","2014","Resolved",12306,
"Auckland District","Total Scene","Homicide and related offences","2013","Resolved",6,
"Auckland District","Total Scene","Homicide and related offences","2014","Resolved",6,
"Auckland District","Total Scene","Acts intended to cause injury","2013","Resolved",2285,
"Auckland District","Total Scene","Acts intended to cause injury","2014","Resolved",2025,
"Auckland District","Total Scene","Sexual assault and related offences","2013","Resolved",194,
"Auckland District","Total Scene","Sexual assault and related offences","2014","Resolved",166,
"Auckland District","Total Scene","Dangerous or negligent acts endangering persons","2013","Resolved",38,
"Auckland District","Total Scene","Dangerous or negligent acts endangering persons","2014","Resolved",43,
"Auckland District","Total Scene","Abduction, harassment and other related offences against a person","2013","Resolved",603,
"Auckland District","Total Scene","Abduction, harassment and other related offences against a person","2014","Resolved",591,
"Auckland District","Total Scene","Robbery, extortion and related offences","2013","Resolved",116,
"Auckland District","Total Scene","Robbery, extortion and related offences","2014","Resolved",156,
"Auckland District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Resolved",478,
"Auckland District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Resolved",447,
"Auckland District","Total Scene","Theft and related offences","2013","Resolved",2712,
"Auckland District","Total Scene","Theft and related offences","2014","Resolved",2448,
"Auckland District","Total Scene","Fraud, deception and related offences","2013","Resolved",377,
"Auckland District","Total Scene","Fraud, deception and related offences","2014","Resolved",470,
"Auckland District","Total Scene","Illicit drug offences","2013","Resolved",1376,
"Auckland District","Total Scene","Illicit drug offences","2014","Resolved",1365,
"Auckland District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Resolved",384,
"Auckland District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Resolved",418,
"Auckland District","Total Scene","Property damage and environmental pollution","2013","Resolved",996,
"Auckland District","Total Scene","Property damage and environmental pollution","2014","Resolved",703,
"Auckland District","Total Scene","Public order offences","2013","Resolved",3285,
"Auckland District","Total Scene","Public order offences","2014","Resolved",2062,
"Auckland District","Total Scene","Offences against justice procedures, government security and government operations","2013","Resolved",1088,
"Auckland District","Total Scene","Offences against justice procedures, government security and government operations","2014","Resolved",1343,
"Auckland District","Total Scene","Miscellaneous offences","2013","Resolved",57,
"Auckland District","Total Scene","Miscellaneous offences","2014","Resolved",63,
"Counties/Manukau District","Total Scene","Total Offences","2013","Recorded",44046,
"Counties/Manukau District","Total Scene","Total Offences","2014","Recorded",42494,
"Counties/Manukau District","Total Scene","Homicide and related offences","2013","Recorded",9,
"Counties/Manukau District","Total Scene","Homicide and related offences","2014","Recorded",8,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2013","Recorded",6328,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2014","Recorded",5719,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2013","Recorded",507,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2014","Recorded",541,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2013","Recorded",134,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2014","Recorded",150,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2013","Recorded",1709,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2014","Recorded",1635,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2013","Recorded",468,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2014","Recorded",509,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Recorded",6723,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Recorded",6793,
"Counties/Manukau District","Total Scene","Theft and related offences","2013","Recorded",14229,
"Counties/Manukau District","Total Scene","Theft and related offences","2014","Recorded",14957,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2013","Recorded",897,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2014","Recorded",892,
"Counties/Manukau District","Total Scene","Illicit drug offences","2013","Recorded",2034,
"Counties/Manukau District","Total Scene","Illicit drug offences","2014","Recorded",1821,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Recorded",737,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Recorded",754,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2013","Recorded",4473,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2014","Recorded",4310,
"Counties/Manukau District","Total Scene","Public order offences","2013","Recorded",3700,
"Counties/Manukau District","Total Scene","Public order offences","2014","Recorded",2526,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2013","Recorded",1969,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2014","Recorded",1763,
"Counties/Manukau District","Total Scene","Miscellaneous offences","2013","Recorded",129,
"Counties/Manukau District","Total Scene","Miscellaneous offences","2014","Recorded",116,
"Counties/Manukau District","Total Scene","Total Offences","2013","Resolved",19939,
